TransactionID,TransactionDate,TransactionTime,AccountNumber,TransactionType,Amount,Currency,Description,Category,Status
TXN00000001,2025-05-01,08:30:15,ACC100000001,DEBIT,55.75,USD,Green Valley Groceries,Groceries,COMPLETED
TXN00000002,2025-05-01,09:15:45,ACC100000002,CREDIT,1500.00,USD,Monthly Salary - April,Salary,COMPLETED
TXN00000003,2025-05-01,10:05:22,ACC100000003,DEBIT,120.50,USD,Edison Electric Bill,Utilities,COMPLETED
TXN00000004,2025-05-01,12:45:00,ACC100000001,DEBIT,12.99,USD,Quick Bites Cafe,Food,COMPLETED
TXN00000005,2025-05-01,15:20:30,ACC100000004,TRANSFER,250.00,USD,Transfer to Savings ACCS001,Transfer,COMPLETED
TXN00000006,2025-05-02,07:55:10,ACC100000002,DEBIT,35.00,USD,City Gas Station,Transportation,COMPLETED
TXN00000007,2025-05-02,11:30:00,ACC100000005,DEBIT,89.99,USD,Online Retailer Inc. - Books,Shopping,COMPLETED
TXN00000008,2025-05-02,14:00:55,ACC100000001,DEBIT,22.40,USD,The Coffee House,Food,COMPLETED
TXN00000009,2025-05-02,16:50:00,ACC100000003,DEBIT,75.00,USD,Internet Service Provider,Utilities,PENDING
TXN00000010,2025-05-03,09:00:00,ACC100000006,CREDIT,200.00,USD,Client Payment - Project X,Income,COMPLETED
TXN00000011,2025-05-03,10:10:10,ACC100000002,DEBIT,45.60,USD,Pharmacy Central,Health,COMPLETED
TXN00000012,2025-05-03,13:30:45,ACC100000001,DEBIT,15.00,USD,Movie Ticket - Cineplex,Entertainment,COMPLETED
TXN00000013,2025-05-03,17:00:00,ACC100000004,DEBIT,300.00,USD,Rent Payment - May,Rent,COMPLETED
TXN00000014,2025-05-04,08:20:19,ACC100000007,DEBIT,65.20,CAD,Canadian Souvenirs,Shopping,COMPLETED
TXN00000015,2025-05-04,11:55:00,ACC100000001,CREDIT,50.00,USD,Refund - Online Retailer Inc.,Refund,COMPLETED
TXN00000016,2025-05-04,14:30:00,ACC100000002,DEBIT,19.99,USD,Streaming Service Subscription,Entertainment,COMPLETED
TXN00000017,2025-05-04,18:00:00,ACC100000005,DEBIT,250.00,USD,Electronics Store - Gadget,Shopping,FAILED
TXN00000018,2025-05-05,09:45:12,ACC100000003,DEBIT,8.50,USD,Bus Fare,Transportation,COMPLETED
TXN00000019,2025-05-05,12:10:00,ACC100000001,DEBIT,60.00,USD,Lunch with Client,Business,COMPLETED
TXN00000020,2025-05-05,15:00:30,ACC100000008,CREDIT,5000.00,EUR,Investment Dividend,Dividends,COMPLETED
TXN00000021,2025-05-06,07:30:00,ACC100000002,DEBIT,1200.00,USD,Mortgage Payment - May,Mortgage,COMPLETED
TXN00000022,2025-05-06,10:00:00,ACC100000004,TRANSFER,100.00,USD,Transfer from Savings ACCS001,Transfer,COMPLETED
TXN00000023,2025-05-06,13:15:55,ACC100000001,DEBIT,42.30,USD,SuperMart Groceries,Groceries,COMPLETED
TXN00000024,2025-05-06,16:40:00,ACC100000006,DEBIT,150.75,USD,Software Purchase Online,Software,COMPLETED
TXN00000025,2025-05-07,09:05:10,ACC100000003,DEBIT,33.00,USD,Water Utility Bill,Utilities,COMPLETED
TXN00000026,2025-05-07,11:25:00,ACC100000005,DEBIT,70.00,USD,Clothing Store - New Shirt,Shopping,COMPLETED
TXN00000027,2025-05-07,14:50:30,ACC100000002,DEBIT,5.99,USD,Music Streaming Monthly,Entertainment,COMPLETED
TXN00000028,2025-05-07,17:30:00,ACC100000001,CREDIT,25.00,USD,Cashback Reward,Rewards,COMPLETED
TXN00000029,2025-05-08,08:10:00,ACC100000007,DEBIT,95.60,CAD,Restaurant Bill - Toronto,Food,PENDING
TXN00000030,2025-05-08,10:00:00,ACC100000008,DEBIT,120.00,EUR,Bookstore Haul,Shopping,COMPLETED
